name,sku,collection,product_type,price,product_dimension,shipping_dimension,net_weight,gross_weight,qty_per_carton,color,frame_type,cushion_info,description,tags,image_url,all_image_urls,url
Athena High Back Sofa 5PC Set,KTATSS5HB,Athena,Patio Furniture,$17466.00,,,,,,,,,"Factory Direct order only, with Minimum Order Quanity of 10 sets.",Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_30.jpg?v=1741158319,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_30.jpg?v=1741158319,https://summersetcasual.com/products/athena-high-back-sofa-5pc-set
Athena Circular Sofa w/ Fire Table 6PC Set,KTATDCSFT6,Athena,Patio Furniture,$13844.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_28.jpg?v=1741158319,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_28.jpg?v=1741158319,https://summersetcasual.com/products/athena-circular-sofa-w-fire-table-6pc-set
Athena Circular Sofa w/ Ottoman 6PC Set,KTATDCSO6,Athena,Patio Furniture,$17724.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_27.jpg?v=1741158320,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_27.jpg?v=1741158320,https://summersetcasual.com/products/athena-circular-sofa-w-ottoman-6pc-set
Athena Circular Sofa w/ Fire Table 5PC Set,KTATDCSFT5,Athena,Patio Furniture,$14352.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_22.jpg?v=1741158321,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_22.jpg?v=1741158321,https://summersetcasual.com/products/athena-circular-sofa-w-fire-table-5pc-set
Athena Circular Sofa w/ Ottoman 5PC Set,KTATDCSO5,Athena,Patio Furniture,$13860.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_25.jpg?v=1741158322,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_25.jpg?v=1741158322,https://summersetcasual.com/products/athena-circular-sofa-w-ottoman-5pc-set
Athena Sofa 5PC Set,KTATDSS5,Athena,Patio Furniture,$10488.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_29.jpg?v=1741158323,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_29.jpg?v=1741158323 | https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Lake-side-1.jpg?v=1741158323 | https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Lake-side-2.jpg?v=1741158323,https://summersetcasual.com/products/athena-sofa-5pc-set
Aztec Circular Sofa w/ Fire Table 6PC Set,KTAZCSFT6,Aztec,Patio Furniture,$17724.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_24.jpg?v=1741158324,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_24.jpg?v=1741158324,https://summersetcasual.com/products/aztec-circular-sofa-w-fire-table-6pc-set
Aztec Circular Sofa w/ Ottoman 6PC Set,KTAZCSO6,Aztec,Patio Furniture,$14654.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_23.jpg?v=1741158324,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_23.jpg?v=1741158324,https://summersetcasual.com/products/aztec-circular-sofa-w-ottoman-6pc-set
Aztec Circular Sofa w/ Fire Table 5PC Set,KTAZCSFT5,Aztec,Patio Furniture,$13860.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_22_d77c83c1-f9b6-4908-8fa6-d67d2d295730.jpg?v=1741158325,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_22_d77c83c1-f9b6-4908-8fa6-d67d2d295730.jpg?v=1741158325,https://summersetcasual.com/products/aztec-circular-sofa-w-fire-table-5pc-set
Aztec Circular Sofa w/ Ottoman 5PC Set,KTAZCSO5,Aztec,Patio Furniture,$10790.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_21.jpg?v=1741158326,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_21.jpg?v=1741158326,https://summersetcasual.com/products/aztec-circular-sofa-w-ottoman-5pc-set
Aztec Sofa 5PC Set,KTAZSS5,Aztec,Patio Furniture,$13844.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_20.jpg?v=1741158327,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_20.jpg?v=1741158327,https://summersetcasual.com/products/aztec-sofa-5pc-set
Aztec Dining 11PC Extension Set,KTAZDS11EX,Aztec,Patio Furniture,$11935.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_19.jpg?v=1741158327,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_19.jpg?v=1741158327,https://summersetcasual.com/products/aztec-dining-11pc-extension-set
Aztec Dining 9PC Extension Set,KTAZDS9EX,Aztec,Patio Furniture,$10787.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_18.jpg?v=1741158328,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_18.jpg?v=1741158328,https://summersetcasual.com/products/aztec-dining-9pc-extension-set
JoLee White Sofa 5PC Set,KTJLWSS5,JoLee,Patio Furniture,$15648.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_17.jpg?v=1741158328,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_17.jpg?v=1741158328,https://summersetcasual.com/products/jolee-white-sofa-5pc-set
JoLee White Dining 9PC Set,KTJLWDS9,JoLee,Patio Furniture,$13114.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_16.jpg?v=1741158329,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_16.jpg?v=1741158329,https://summersetcasual.com/products/jolee-white-dining-9pc-set
JoLee White Dining 7PC Set,KTJLWDS7,JoLee,Patio Furniture,$9902.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_15.jpg?v=1741158330,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_15.jpg?v=1741158330,https://summersetcasual.com/products/jolee-white-dining-7pc-set
JoLee Sofa 5PC Set,KTJLSS5,JoLee,Patio Furniture,$14614.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_14.jpg?v=1741158330,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_14.jpg?v=1741158330,https://summersetcasual.com/products/jolee-sofa-5pc-set
JoLee Dining 9PC Set,KTJLDS9,JoLee,Patio Furniture,$12170.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_13.jpg?v=1741158331,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_13.jpg?v=1741158331,https://summersetcasual.com/products/jolee-dining-9pc-set
JoLee Dining 7PC Set,KTJLDS7,JoLee,Patio Furniture,$9189.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_12.jpg?v=1741158331,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_12.jpg?v=1741158331,https://summersetcasual.com/products/jolee-dining-7pc-set
Sahara Sofa 5PC Set,KTSASS5,Sahara,Patio Furniture,$8790.00,,,,,,,,,"Factory Direct order only, with Minimum Order Quanity of 10 sets.",Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_11.jpg?v=1741158332,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_11.jpg?v=1741158332,https://summersetcasual.com/products/sahara-sofa-5pc-set
Sahara Dining 9PC Extension Set,KTSADS9EX,Sahara,Patio Furniture,$12027.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_10.jpg?v=1741158333,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_10.jpg?v=1741158333,https://summersetcasual.com/products/sahara-dining-9pc-extension-set
Sahara Dining 9PC Extension Set - No Cushion,KTSADS9EX_NC,Sahara,Patio Furniture,$11032.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_10_024c6e0c-078a-403b-a904-669e74144710.jpg?v=1741158333,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_10_024c6e0c-078a-403b-a904-669e74144710.jpg?v=1741158333,https://summersetcasual.com/products/sahara-dining-9pc-extension-set-no-cushion
Sahara Dining 7PC Set,KTSADS7,Sahara,Patio Furniture,$7115.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_9.jpg?v=1741158334,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_9.jpg?v=1741158334,https://summersetcasual.com/products/sahara-dining-7pc-set
Sahara Dining 7PC Set - No Cushion,KTSADS7_NC,Sahara,Patio Furniture,$6120.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_9_a85c3048-b9ed-4b17-930e-d221516b89a1.jpg?v=1741158335,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_9_a85c3048-b9ed-4b17-930e-d221516b89a1.jpg?v=1741158335,https://summersetcasual.com/products/sahara-dining-7pc-set-no-cushion
Sahara Dining 5PC Set,KTSADS5,Sahara,Patio Furniture,$4420.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_8.jpg?v=1741158335,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_8.jpg?v=1741158335,https://summersetcasual.com/products/sahara-dining-5pc-set
Sahara Dining 5PC Set - No Cushion,KTSADS5_NC,Sahara,Patio Furniture,$3756.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_8_2e273af6-66ab-49ab-b7e0-c71fd912d9d7.jpg?v=1741158336,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_8_2e273af6-66ab-49ab-b7e0-c71fd912d9d7.jpg?v=1741158336,https://summersetcasual.com/products/sahara-dining-5pc-set-no-cushion
Ariana Sofa 5PC Firetable Set,KTARSS5,Ariana,Patio Furniture,$13144.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_7.jpg?v=1741158337,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_7.jpg?v=1741158337,https://summersetcasual.com/products/ariana-sofa-5pc-firetable-set
Ariana Conversation 5PC Set,KTARCS5,Ariana,Patio Furniture,$11232.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_6.jpg?v=1741158338,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_6.jpg?v=1741158338,https://summersetcasual.com/products/ariana-conversation-5pc-set
Ariana Dining 9PC Extension Set,KTARDS9EX,Ariana,Patio Furniture,$11076.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_5_cb6b3ad7-147a-4f3f-a1b0-0f41308ad6dc.jpg?v=1741158338,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_5_cb6b3ad7-147a-4f3f-a1b0-0f41308ad6dc.jpg?v=1741158338,https://summersetcasual.com/products/ariana-dining-9pc-extension-set
Ariana Dining 9PC Set,KTARDS9,Ariana,Patio Furniture,$7760.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_4.jpg?v=1741158339,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_4.jpg?v=1741158339,https://summersetcasual.com/products/ariana-dining-9pc-set
Ariana Dining 7PC Set,KTARDS7,Ariana,Patio Furniture,$6569.00,,,,,,,,,,Set,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_3.jpg?v=1741158339,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SS_2023PresentationBook1024_3.jpg?v=1741158339,https://summersetcasual.com/products/ariana-dining-7pc-set
Cushion for Jolee Bench Short,CUSH-G-2,Jolee,Cushion,$270.00,,,,,,". For upgraded fabric, please purchase",,"is in solid color. For upgraded fabric, please purchase Cush","Description It's required to put fabric name in the product note. * Please make sure to put fabric name in the customer Note field. ** This cushion is in solid color. For upgraded fabric, please purchase Cushion Upgrade item. Stripe Color = 1 x Upgrade Weave Color = 2 x Upgrade Print Color = 3 x Upgrade Bench Cushion = 2 x??Dining Cushion For example, a??bench cushion in Astoria Sunset fabric (Strip) needs to buy 2 dining cushion upgrade Specifications Dimension To be updated Net Weight To be up","Bench, Cushion, JoLee",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Rectangle-Ottoman-Cushions_41b0a592-8b56-4e1d-8656-56a5e9550574.jpg?v=1741158340,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Rectangle-Ottoman-Cushions_41b0a592-8b56-4e1d-8656-56a5e9550574.jpg?v=1741158340,https://summersetcasual.com/products/cushion-for-jolee-bench-short
Ice Bucket for Fire Table,ICEBUK-L,,Patio Furniture,$243.00,"19""",0,,,1,Stainless Steel,304 Stainless Steel,,"Description Ice Bucket for Fire Table Dimensions & Weight Product Dimension 19"" Diameter Shipping Dimension 0 Net Weight lbs Gross Weight lbs QTY/CTN 1 Specifications Color Stainless Steel Frame Type 304 Stainless Steel Warranty 1 year California's Proposition 65 Warning For California Residents Additional Documents ??","Accessories, Fire, Fire Accessory, Stocking",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ICEBUK-L.jpg?v=1741158340,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ICEBUK-L.jpg?v=1741158340,https://summersetcasual.com/products/ice-bucket-for-fire-table
Athena Dark Square Accent Table With Storage,SQATWSATD,Athena Dark,Patio Furniture,$1703.00,18.1''x24.4''x24.4'',19'',15.84 lbs,25.3 lbs,1,Dark Grey,Wicker/Aluminum Frame Fully Welded,Purchase Separately,Description Athena Dark Square Accent Table with Storage Dimensions & Weight Product Dimension 18.1''x24.4''x24.4'' Arm Height 0 Seat Height 0 Shipping Dimension 19'' x25'' x25'' Net Weight 15.84 lbs Gross Weight 25.3 lbs QTY/CTN 1 Specifications Color Dark Grey Frame Type Wicker/Aluminum Frame Fully Welded Cushion Purchase Separately Matching Cover TA24; Warranty Frames: 10 years; Cushion 5 years California's Proposition 65 Warning For California Residents Additional Documents,"Athena Dark, Stocking",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SQATWSATD.jpg?v=1741158341,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SQATWSATD.jpg?v=1741158341 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SQATWSAT_5c96489d-39f2-4031-b6b7-4bb6d0486bdf.jpg?v=1741158341 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SQATWSAT1.jpg?v=1741158341,https://summersetcasual.com/products/athena-dark-square-accent-table-with-storage
Athena Dark Curved Circular Accent Table With Storage,ATCAT,Athena Dark,Patio Furniture,$966.00,"25.5""x22""x31""",26'',13.2 lbs,17.6 lbs,1,Dark Grey,Wicker on Aluminum Frame,,"Description Athena Dark CURVED CIRCULAR ACCENT TABLE Dimensions & Weight Product Dimension 25.5""x22""x31"" Shipping Dimension 26'' x28'' x31'' Net Weight 13.2 lbs Gross Weight 17.6 lbs QTY/CTN 1 Specifications Color Dark Grey Frame Type Wicker on Aluminum Frame Matching Cover E302; Warranty Frames: 10 years; Wicker: 5 years California's Proposition 65 Warning For California Residents Additional Documents ??","Athena Dark, Stocking",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ATCAT3.jpg?v=1741158342,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ATCAT3.jpg?v=1741158342 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ATCAT1.jpg?v=1741158342,https://summersetcasual.com/products/atehna-curved-circular-accent-table-with-storage
Miscellaneous,MISC,,,$0.00,,,,,,,,,Miscellaneous item; make sure you put description in product note!,,,,https://summersetcasual.com/products/miscellaneous
Club Swivel Rockers (Classic) Set of 2 (Container Order Only),CSOCCSR,,Patio Furniture,$2306.00,"30""W","44.25""x31.5""x33""",79 lbs,88 lbs,2,Black,Cast Aluminum Fulled Welded for Sofa and Club Chairs; Cast Aluminum Knock-down for Fire Table and End Table,s. This product is for Container Direct order only. Please c,"Description Include Linen Sesame Sunbrella cushions. This product is for Container Direct order only. Please check our Container Direct Order Guidelines for ordering instruction. However, if this product is Not showing ""out of stock"", it means we still have some leftover quantity in our California warehouse. In which case, you can order up to the available quantity shown. In addition, these leftover items are discounted 20% to their regular prices. Dimensions & Weight Product Dimension 30""W x 37",Fire Table,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Swivel-Club_2pk.jpg?v=1741158343,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Swivel-Club_2pk.jpg?v=1741158343 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/SPCCSR_3.jpg?v=1741158343 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AQ0V2154.jpg?v=1741158343 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AQ0V2150.jpg?v=1741158343 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AQ0V2066.jpg?v=1741158343 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AQ0V2068.jpg?v=1741158343,https://summersetcasual.com/products/club-swivel-rockers-classic-set-of-2
"44"" Square Chat Wrap Firepit Table (Classic) (Container Order Only)",FPCHSQ44CSO,,Patio Furniture,$2096.00,29.1''x44.1''x44.1'',46'',66 lbs,77 lbs,1,Black,Cast Aluminum Knock-Down,,"Description Include fire table, burner, 15lb black fire glass, and Shield Mercury cover. This product is for Container Direct order only. Please check our Container Direct Order Guidelines for ordering instruction. However, if this product is Not showing ""out of stock"", it means we still have some leftover quantity in our California warehouse. In which case, you can order up to the available quantity shown. In addition, these leftover items are discounted 20% to their regular prices. Dimensions ","Fire Table, Signature",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0051.jpg?v=1741158345,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0051.jpg?v=1741158345 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/FPCHSQ44CSO_wMeasure.jpg?v=1741158345 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/1_b7d2c33f-611d-4d19-9b67-db9598ab3f66.jpg?v=1741158345 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0050.jpg?v=1741158345 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0056.jpg?v=1741158345 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/3_278abdde-7d64-4ae2-8494-72b4a11a52e8.jpg?v=1741158346 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0053.jpg?v=1741158346 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0058.jpg?v=1741158346 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AQ0V0340.jpg?v=1741158346,https://summersetcasual.com/products/44-square-chat-wrap-firepit-table-classic
"36"" Round Bistro Firetable (Classic) (Container Order Only)",FPRB36CSO,,Patio Furniture,$1987.00,"24.5""x36""x36""",Carton1:,62 lbs,73 lbs,1PC/2CTN,MA,Cast Aluminum Knock-Down,,"Description Include fire table, burner, 15lb black fire glass, and Shield M ercury cover. This product is for Container Direct order only. Please check our Container Direct Order Guidelines for ordering instruction. However, if this product is Not showing ""out of stock"", it means we still have some leftover quantity in our California warehouse. In which case, you can order up to the available quantity shown. In addition, these leftover items are discounted 20% to their regular prices. Dimensions",Fire Table,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0024.jpg?v=1741158348,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0024.jpg?v=1741158348 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/FPRB36CSO_wMeasure_83bf1f56-eea4-4e81-8bab-09f4e7de7d65.jpg?v=1741158348 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/2-B.jpg?v=1741158348 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/COV-GTR36_bb2fd9f6-83ee-45d0-bbb2-5a7790204985.jpg?v=1741158348 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/1.jpg?v=1741158348 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/ODF-0025.jpg?v=1741158348 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Bistro-4.jpg?v=1741158348,https://summersetcasual.com/products/36-round-bistro-firetable-classic
"7PC Laced Dining Set with 86""x46"" Table, 4 Chairs and 2 Swivel Rockers",KTSADC4+SASR2+RCDTWV8646,,Patio Furniture,$4747.00,Arm,Net,,,,Black,Cast Aluminum Knock-down,Purchase Separately,"Description 4 x LACED DINING CHAIRS + 2 x LACED SWIVEL ROCKERS + 86""x46"" RECTANGLE WEAVE DINING TABLE Dimensions & Weight Product Dimension Arm Height Seat Height Shipping Dimension Net Weight Gross Weight QTY/CTN Specifications Color Black Frame Type Cast Aluminum Knock-down Cushion Purchase Separately Matching Cover C11; Warranty Frames: 10 years; Cushion 5 years California's Proposition 65 Warning For California Residents Additional Documents",Ecom,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/KTSADS7PC.jpg?v=1741158354,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/KTSADS7PC.jpg?v=1741158354,https://summersetcasual.com/products/7pc-laced-dining-set-with-86x46-table-4-chairs-and-2-swivel-rockers
"5PC Laced Dining Set with 48"" Round Table, 4 Chairs",KTSADC4+RDTWV48,,Patio Furniture,$2840.00,Arm,Net,,,,Black,Cast Aluminum Knock-down,Purchase Separately,"Description 4 x LACED DINING CHAIRS + 48"" ROUND WEAVE DINING TABLE Dimensions & Weight Product Dimension Arm Height Seat Height Shipping Dimension Net Weight Gross Weight QTY/CTN Specifications Color Black Frame Type Cast Aluminum Knock-down Cushion Purchase Separately Matching Cover C11; Warranty Frames: 10 years; Cushion 5 years California's Proposition 65 Warning For California Residents Additional Documents",Ecom,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/KTSADS5PC.jpg?v=1741158355,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/KTSADS5PC.jpg?v=1741158355,https://summersetcasual.com/products/5pc-laced-dining-set-with-48-round-table-4-chairs
Wicker Chaise Lounge (Set of 2),KTAZCL2,Wicker,Patio Furniture,$2269.00,"37.5""x28.5""x80""","74"" x 30"" x 22""",64 lbs,77 lbs,2,Chocolate Redwood,Wicker on Aluminum Frame,Purchase Separately,"Description WICKER CHAISE LOUNGE - 2PK Dimensions & Weight Product Dimension 37.5""x28.5""x80"" Arm Height Seat Height Shipping Dimension 74"" x 30"" x 22"" Net Weight 64 lbs Gross Weight 77 lbs QTY/CTN 2 Specifications Color Chocolate Redwood Frame Type Wicker on Aluminum Frame Cushion Purchase Separately Matching Cover C11; Warranty Frames: 10 years; Wicker 5 years California's Proposition 65 Warning For California Residents Additional Documents",Ecom,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZCL_95529b9c-05dd-4fd4-9d20-d6283ddbb2fa.jpg?v=1741158359,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZCL_95529b9c-05dd-4fd4-9d20-d6283ddbb2fa.jpg?v=1741158359,https://summersetcasual.com/products/wicker-chaise-lounge-set-of-2
Wicker Counter Barstool (Set of 2),KTAZCB2,Wicker,Patio Furniture,$1101.00,"47""x24""x25""","41"" x 33.5"" x 26.5",48 lbs,61 lbs,2,Chocolate Redwood,Wicker on Aluminum Frame,Purchase Separately,"Description WICKER COUNTER BARSTOOL - 2PK Dimensions & Weight Product Dimension 47""x24""x25"" Arm Height 34"" Seat Height 25"" Shipping Dimension 41"" x 33.5"" x 26.5 Net Weight 48 lbs Gross Weight 61 lbs QTY/CTN 2 Specifications Color Chocolate Redwood Frame Type Wicker on Aluminum Frame Cushion Purchase Separately Matching Cover C11; Warranty Frames: 10 years; Wicker 5 years California's Proposition 65 Warning For California Residents Additional Documents",Ecom,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-3_7352be10-fb7c-49a0-b655-f2a7ee982bf0.jpg?v=1741158360,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-3_7352be10-fb7c-49a0-b655-f2a7ee982bf0.jpg?v=1741158360 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS_46bd75f2-29c1-4410-b6eb-f9952f77b77b.jpg?v=1741158360 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-1_4510f65c-7a7e-4f4d-99f9-89469e2ff784.jpg?v=1741158360 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-2_843d2e7f-0d73-4054-895c-e1d55b81657c.jpg?v=1741158360,https://summersetcasual.com/products/wicker-counter-barstool-set-of-2
Wicker Barstool (Set of 2),KTAZBS2,Wicker,Patio Furniture,$1136.00,"50""x24.5""x25""","42.5"" x 31.5"" x 26.5",50 lbs,63 lbs,2,Chocolate Redwood,Wicker on Aluminum Frame,Purchase Separately,"Description WICKER BARSTOOL - 2PK Dimensions & Weight Product Dimension 50""x24.5""x25"" Arm Height 37"" Seat Height 28"" Shipping Dimension 42.5"" x 31.5"" x 26.5 Net Weight 50 lbs Gross Weight 63 lbs QTY/CTN 2 Specifications Color Chocolate Redwood Frame Type Wicker on Aluminum Frame Cushion Purchase Separately Matching Cover C11; Warranty Frames: 10 years; Wicker 5 years California's Proposition 65 Warning For California Residents Additional Documents",Ecom,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS_087925d7-73d6-46ae-8099-55c116988770.jpg?v=1741158361,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS_087925d7-73d6-46ae-8099-55c116988770.jpg?v=1741158361 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-1.jpg?v=1741158361 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-2.jpg?v=1741158361 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-3.jpg?v=1741158361 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-Detail-2_e5208643-e193-4934-b990-d2ccddb65ee8.jpg?v=1741158361 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/AZBS-Detail-1_4c6fca0a-2e7d-4d10-8129-6b49101e41d0.jpg?v=1741158361,https://summersetcasual.com/products/wicker-barstool-set-of-2
